Startup ID,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
1228,HealthTech,9,3554932308.26,15786246579.32,31,UK,2004,112.05
1229,Fintech,10,1028831622.92,4119454060.18,50,Germany,2006,108.1
1230,AI,6,2136513742.41,3946860452.6,15,Brazil,2011,168.78
1231,HealthTech,4,3161763370.64,9704358841.56,29,Canada,2020,98.61
1232,Fintech,6,1814196555.1,4570541466.59,48,Germany,2020,181.97
1233,AI,1,4033271025.81,13377000451.95,10,Australia,2002,166.21
1234,AI,6,4164071589.51,6651839856.6,40,Singapore,2020,29.21
1235,Biotech,2,3639307967.85,16201626960.81,23,Australia,2018,155.95
1236,E-commerce,3,4755031620.99,8585773821.41,18,India,2015,183.76
1237,E-commerce,6,904543545.88,4188296413.91,50,China,2009,100.26
1238,HealthTech,8,101979945.37,376161224.77,12,UK,2017,182.99
1239,HealthTech,3,2555792519.46,12000232525.47,16,France,2006,28.58
1240,HealthTech,1,4856932414.6,9646163610.25,40,India,2023,101.73
1241,AI,9,1017757814.02,3547448273.98,13,Canada,2014,153.09
1242,EdTech,4,2816896880.99,5121926972.63,7,India,2015,153.91
1243,EdTech,2,4392927634.58,10439626222.84,37,Australia,2005,114.2
1244,SaaS,2,1391910338.44,4061576100.05,39,Germany,2021,59.68
1245,AI,3,3145862293.85,12412655173.66,3,Singapore,2006,167.64
1246,Biotech,4,380383416.92,1376179860.99,29,China,2014,22.94
1247,Biotech,2,41661757.11,94123790.32,38,India,2022,174.04
1248,HealthTech,5,624677945.22,3088670277.35,42,USA,2014,185.45
1249,SaaS,6,1094692704.35,2994095949.89,32,Brazil,2016,55.72
1250,E-commerce,10,4486156477.46,14165912292.56,28,Australia,2016,140.93
1251,SaaS,3,88703757.27,422285710.54,8,Australia,2015,80.53
1252,AI,1,2252447364.1,11259922120.35,19,China,2008,46.49
1253,Biotech,4,2204995414.11,3925326530.97,2,France,2003,59.15
1254,E-commerce,5,1975875679.01,2990311954.67,15,Singapore,2001,89.76
1255,Blockchain,8,1723404222.33,3256182730.6,19,Brazil,2000,110.4
1256,E-commerce,4,3671602870.63,15868466059.43,50,Germany,2012,75.3
1257,E-commerce,8,3049560773.45,11875302087.04,33,UK,2022,147.13
1258,AI,6,2036368763.89,8647704884.02,25,Australia,2014,51.83
1259,Biotech,2,528310098.12,2149907346.14,17,Germany,2020,15.9
1260,Blockchain,6,4565014056.86,9870101476.26,47,Singapore,2010,169.36
1261,Fintech,6,4378744563.22,8946468294.41,23,UK,2003,119.94
1262,HealthTech,8,4855109499.05,9281122952.18,40,UK,2007,126.2
1263,Fintech,5,1196890084.19,3154222008.13,15,USA,2009,114.96
1264,SaaS,4,4377784287.92,11162542339.93,31,Canada,2001,189.5
1265,Biotech,2,3250955221.43,10793648448.96,35,Australia,2004,78.25
1266,Blockchain,7,1406390384.99,6195931605.55,29,Canada,2010,149.73
1267,Blockchain,3,4183350978.51,16288887941.3,34,Australia,2010,160.31
1268,Fintech,7,2311784809.0,10672282677.53,42,UK,2009,91.45
1269,Biotech,5,4244132731.46,15059468842.96,10,Brazil,2016,102.68
1270,AI,1,1686987151.83,3668057184.32,42,UK,2009,102.93
1271,SaaS,3,2707525037.76,7568181186.02,48,Canada,2000,110.98
1272,HealthTech,8,4833022671.63,12550137578.58,25,India,2000,155.22
1273,E-commerce,9,1419610877.85,5201442305.28,25,UK,2020,150.21
1274,Biotech,8,1387581118.37,6324381681.03,33,Brazil,2015,182.98
1275,AI,10,4616591558.85,19934252590.46,21,Australia,2022,139.41
1276,E-commerce,1,143235720.71,429307136.74,40,Canada,2002,64.6
1277,SaaS,10,2495890405.43,8159914257.89,49,France,2022,76.71
1278,HealthTech,7,2309747431.39,10065710934.93,20,Germany,2023,24.31
1279,AI,1,2467440586.7,6415613966.38,35,Germany,2011,110.08
1280,EdTech,1,2516907093.51,11389904972.7,34,UK,2012,114.42
1281,Biotech,7,4739216451.71,15061206050.78,22,Singapore,2013,104.61
1282,Blockchain,8,1670948696.64,4207124310.14,27,China,2004,99.76
1283,SaaS,4,1961132780.92,8835038462.16,41,India,2008,50.63
1284,Biotech,10,4887032289.71,22762474960.81,21,India,2019,8.18
1285,HealthTech,9,230823308.26,471465432.9,24,USA,2008,58.56
1286,AI,1,3718312089.98,9740676546.02,35,Brazil,2015,28.88
1287,E-commerce,5,4569993520.6,17616211899.33,49,UK,2002,111.36
1288,E-commerce,5,2463096342.22,5797525361.73,10,UK,2008,28.78
1289,SaaS,10,432959678.22,2026176776.52,35,USA,2022,147.58
1290,SaaS,4,2296981968.14,5221087915.17,8,Brazil,2002,25.07
1291,E-commerce,1,254683922.68,1204206020.15,33,USA,2016,187.75
1292,EdTech,2,2984074141.22,5710441360.76,40,Germany,2005,85.58
1293,E-commerce,6,2296271214.97,5795984197.58,31,UK,2004,186.26
1294,EdTech,10,4852431726.87,14553917021.41,15,UK,2002,197.0
1295,Biotech,4,543795010.58,2564630084.41,17,Brazil,2008,72.8
1296,E-commerce,7,59075949.77,185703402.04,15,USA,2023,49.26
1297,HealthTech,4,1411413793.65,2320127875.13,32,USA,2001,12.08
1298,HealthTech,1,1096218354.69,2258455536.49,42,Brazil,2004,116.78
1299,E-commerce,1,859887246.74,3571075404.2,42,France,2007,150.1
1300,Blockchain,2,1216940883.99,4184770366.63,47,USA,2010,68.76
1301,Fintech,4,4734755254.98,9441460337.1,39,UK,2002,196.99
1302,EdTech,7,810195128.56,2674865512.98,1,USA,2002,124.31
1303,Biotech,2,2027130909.27,6105727847.3,7,Germany,2023,31.16
1304,AI,4,4464998246.44,12753041808.54,25,USA,2010,47.71
1305,AI,6,1369085108.7,3664743901.04,40,Brazil,2020,179.7
1306,SaaS,7,2460758946.88,5120263509.63,34,Australia,2018,37.63
1307,SaaS,6,2938206896.65,13198408720.96,2,France,2017,28.26
1308,Blockchain,1,4438211727.34,18832588070.71,2,China,2023,119.05
1309,SaaS,4,39078148.28,97633791.3,30,Canada,2021,35.85
1310,E-commerce,5,4925177205.06,13742886733.29,42,Singapore,2016,95.0
1311,Biotech,2,2066213491.52,5616561257.34,7,Brazil,2014,114.16
1312,EdTech,10,3425903052.1,17077889920.07,17,UK,2007,108.06
1313,Fintech,9,2548498043.32,12246569492.94,45,China,2014,169.8
1314,EdTech,5,3220520356.85,14411258787.73,11,China,2015,103.26
1315,AI,3,11553406.01,37075421.86,10,Australia,2015,11.5
1316,E-commerce,3,2355703371.36,9374424427.18,1,India,2017,75.08
1317,EdTech,9,2138788395.63,7465602644.47,44,China,2016,115.62
1318,EdTech,10,1633899176.81,4067659037.12,11,Australia,2003,145.54
1319,Blockchain,9,438586889.38,1467572450.53,48,Brazil,2009,155.61
1320,AI,1,3339644160.74,11919344438.18,9,Brazil,2016,100.67
1321,Fintech,8,2672862788.35,5021419012.37,14,Brazil,2001,107.64
1322,Biotech,6,1148090230.1,4967393685.74,43,India,2013,94.04
1323,Fintech,4,3526526809.51,11743319420.29,33,France,2014,134.23
1324,Fintech,1,2111809441.88,6495821904.51,26,Germany,2007,26.47
1325,E-commerce,8,4620648374.82,16250847923.2,44,France,2007,129.05
1326,AI,4,1347388495.1,6529218352.37,25,UK,2017,130.55
1327,Fintech,2,2103546360.86,4322484552.05,26,USA,2021,57.14
1328,Fintech,5,4730079716.18,16540848283.89,6,China,2008,62.47
1329,Fintech,8,826224038.06,2925730338.51,3,Australia,2017,153.56
1330,EdTech,10,1998846226.83,5017767936.51,11,USA,2006,15.91
1331,Blockchain,1,2376204297.86,4120223929.07,12,Brazil,2020,41.66
1332,Fintech,8,3561769238.47,17550821649.25,49,India,2002,85.39
1333,Biotech,6,2192652726.89,8671784796.85,14,Singapore,2008,110.83
1334,Biotech,5,2330445397.33,5206998792.26,39,China,2005,57.77
1335,HealthTech,3,3083624311.99,10152598115.82,29,Australia,2001,113.04
1336,Blockchain,5,1679022546.46,5629814946.17,37,Canada,2007,197.68
1337,HealthTech,1,4322215324.64,14663402318.31,12,USA,2019,49.27
1338,HealthTech,3,482277152.28,1517271641.7,28,UK,2009,109.24
1339,Blockchain,4,4008117047.54,18190386182.1,41,Singapore,2016,185.48
1340,AI,5,4098289196.16,7194917170.14,35,Australia,2010,23.44
1341,Fintech,3,287094347.97,648922773.85,27,Canada,2017,148.71
1342,EdTech,9,919535780.6,3836078373.38,11,China,2014,178.97
1343,AI,3,2281176163.51,6462332966.19,50,France,2019,144.97
1344,HealthTech,2,1002280373.62,3394107391.44,1,Singapore,2017,24.23
1345,HealthTech,9,4145362056.65,16065210241.22,18,USA,2018,197.69
1346,HealthTech,3,4037759259.35,17034826851.65,15,Germany,2022,134.75
1347,E-commerce,3,4157981303.41,6782190588.75,39,Brazil,2015,161.47
1348,E-commerce,9,1419136808.43,5811682191.34,25,Germany,2014,5.24
1349,Biotech,2,242512391.57,413892428.04,38,Australia,2003,127.11
1350,AI,8,4148421950.4,16862699828.13,45,USA,2003,5.96
1351,AI,7,3091603851.12,8599842620.65,15,UK,2012,140.24
1352,E-commerce,1,362414203.07,621383628.75,32,India,2002,85.55
1353,Blockchain,4,2595310110.14,10817150809.64,39,Germany,2019,60.47
1354,HealthTech,5,1340022974.21,6661879815.77,32,Australia,2015,26.94
1355,E-commerce,10,1474706134.12,3176391629.1,22,Canada,2010,45.61
1356,EdTech,3,517328216.82,1589186376.7,16,UK,2012,99.84
1357,Blockchain,4,900856525.01,2096805530.59,31,China,2008,153.97
1358,SaaS,6,4681475819.5,20925689333.64,33,Singapore,2001,120.58
1359,HealthTech,1,1651535578.02,4000309636.97,32,India,2018,110.45
1360,Blockchain,6,2569213986.17,10924172239.01,11,Singapore,2008,167.94
1361,Blockchain,7,3743116580.71,6787319572.31,9,Canada,2012,133.47
1362,SaaS,8,3323863247.98,6057025405.19,7,UK,2013,28.96
1363,EdTech,9,3936321176.57,18170349967.92,5,UK,2012,38.17
1364,Fintech,6,285233279.97,1172007391.93,28,France,2020,99.1
1365,Fintech,10,1457690416.24,4967889298.83,32,India,2015,32.81
1366,EdTech,9,2574474123.39,9149474170.29,33,Brazil,2023,41.97
1367,Fintech,4,3521568043.79,16191392464.06,21,Singapore,2002,13.27
1368,E-commerce,3,1812793473.01,7494926348.08,30,Canada,2015,26.08
1369,Fintech,6,3195667708.51,8654455788.12,45,Brazil,2013,97.71
1370,SaaS,3,735825401.26,1365708277.05,39,Australia,2021,173.34
1371,AI,3,2364023787.6,9049682141.51,38,France,2008,139.88
1372,AI,6,4141805359.76,18538386921.54,22,France,2018,194.39
1373,SaaS,3,132583941.08,411400260.44,48,Germany,2012,116.61
1374,HealthTech,7,4570117726.93,12813511402.23,30,France,2002,88.11
1375,Blockchain,4,1696868524.98,3549872933.92,35,India,2016,28.73
1376,Blockchain,2,3332363814.46,5415208007.48,15,UK,2000,45.72
1377,SaaS,7,105862397.94,294871496.04,31,China,2014,69.36
1378,Blockchain,7,3173929984.65,15492758510.36,34,UK,2016,20.24
1379,SaaS,4,892283017.47,3484734814.05,45,India,2003,28.34
1380,E-commerce,9,4294562501.1,9538227044.64,13,India,2014,74.3
1381,EdTech,5,4167110875.19,13548218851.36,23,Germany,2015,65.89
1382,SaaS,7,2825548558.62,8345723543.28,45,USA,2010,130.74
1383,AI,2,772472857.01,2700556371.79,25,UK,2021,59.47
1384,HealthTech,6,445123884.79,1619015803.17,28,France,2022,29.41
1385,E-commerce,8,2156992853.57,7483848146.82,24,Australia,2013,75.45
1386,Fintech,9,2867763758.58,4304575403.63,14,Canada,2009,57.91
1387,AI,7,235384595.1,858658060.57,11,France,2022,66.34
1388,HealthTech,5,123448746.24,567865270.04,6,India,2003,128.18
1389,E-commerce,5,4981122025.5,9011634398.7,38,India,2014,145.94
1390,Biotech,5,945304388.47,3688223858.69,3,Singapore,2015,90.31
1391,Fintech,8,3989924157.38,15077677369.53,8,India,2007,92.16
1392,HealthTech,5,4166062815.47,11239276080.91,49,UK,2000,26.87
1393,Biotech,8,3981538858.48,17886244432.79,42,USA,2019,173.32
1394,Biotech,3,3572948270.5,14193054200.37,43,Australia,2005,25.64
1395,SaaS,8,3769645990.76,17401697103.17,46,China,2005,7.24
1396,EdTech,10,1773355802.27,7916047553.52,7,Canada,2015,191.34
1397,Blockchain,3,326892759.3,698043508.04,31,Germany,2007,101.32
1398,HealthTech,4,366211150.55,1281162948.11,16,Germany,2008,188.09
1399,Blockchain,5,1052248692.07,2615442001.31,23,Brazil,2019,98.03
1400,E-commerce,10,3730660210.74,7591622928.15,35,Germany,2021,104.02
1401,SaaS,4,1652318679.17,2695474896.52,10,Canada,2022,129.22
1402,Blockchain,1,1581990314.06,7256779028.52,49,Singapore,2001,64.83
1403,E-commerce,7,4484449570.21,13900546207.1,21,Australia,2020,80.27
1404,HealthTech,4,4119207145.09,10815543431.31,8,USA,2009,188.18
1405,Blockchain,3,3714350685.05,7546421990.91,11,Brazil,2018,23.64
1406,EdTech,10,4850319168.21,22472037607.31,49,China,2020,58.62
1407,E-commerce,10,971971990.34,4816276295.78,47,Singapore,2011,32.15
1408,AI,9,411202707.11,1483110391.36,49,Canada,2022,5.25
1409,AI,6,2619538768.9,5049043254.16,19,Germany,2008,122.24
1410,Blockchain,2,4079533092.4,15185792277.55,11,Brazil,2017,129.87
1411,HealthTech,3,4680140148.8,11075116892.49,35,Germany,2023,51.15
1412,Fintech,9,4329243710.69,9174277204.74,36,Canada,2001,139.45
1413,Fintech,4,4918505422.7,24263667977.96,35,China,2000,29.83
1414,Blockchain,10,3688620891.76,9319085384.22,21,France,2005,40.03
1415,HealthTech,3,2262965212.62,4825733504.39,13,Singapore,2015,172.55
1416,Biotech,3,2096702465.45,7656335672.87,6,UK,2007,194.86
1417,SaaS,10,3654038391.18,15526089501.84,27,Canada,2007,151.18
1418,Biotech,5,3136740451.46,5678056296.89,25,Singapore,2018,143.72
1419,E-commerce,1,4472745942.43,16513449432.57,50,Germany,2020,7.77
1420,Fintech,5,3030201957.25,7112473323.29,31,UK,2021,190.71
1421,Blockchain,6,3073088932.34,14695712530.72,48,USA,2000,29.97
1422,Biotech,8,3415901545.71,6803928694.67,21,Singapore,2009,40.91
1423,SaaS,2,434600808.27,1309938725.76,42,India,2021,49.03
1424,HealthTech,1,1402933551.74,5748355807.67,26,Singapore,2019,89.17
1425,HealthTech,6,4198622862.43,9138209346.08,23,Singapore,2014,72.0
1426,SaaS,2,4579812319.27,18948354063.33,25,Brazil,2009,148.07
1427,AI,1,513657431.26,1457698197.89,6,Canada,2018,45.74
1428,AI,6,3518833517.01,10726270703.36,23,China,2007,35.44
1429,AI,3,928149478.75,3753369211.13,45,Brazil,2017,20.34
1430,HealthTech,1,4026811874.98,16346623477.26,5,UK,2021,130.46
1431,EdTech,1,2475810301.65,6628263970.19,35,USA,2008,28.87
1432,E-commerce,7,3033533689.11,12490112230.61,4,Singapore,2009,125.87
1433,SaaS,3,4909858748.35,16180758295.67,50,Canada,2023,134.07
1434,Fintech,2,1492603944.68,4504115816.55,16,UK,2003,20.95
1435,Blockchain,1,353070598.81,1487056177.25,7,Canada,2010,189.58
1436,E-commerce,3,788920117.78,2044111514.0,39,USA,2016,63.79
1437,EdTech,4,168684129.2,748404656.97,39,Singapore,2003,197.39
1438,HealthTech,1,94798314.79,270110189.1,27,India,2018,187.05
1439,AI,9,465946098.27,2164698465.22,15,China,2002,55.44
1440,SaaS,9,3916017112.46,13604027360.09,31,France,2019,117.29
1441,SaaS,5,3963214804.15,11292508158.56,21,Brazil,2007,123.82
1442,Fintech,4,1521890977.56,4306476527.09,17,USA,2008,190.93
1443,HealthTech,5,4718518027.26,14813875722.26,48,UK,2011,20.1
1444,AI,4,2629368620.33,7399450284.58,2,France,2010,143.54
1445,Fintech,3,1234011063.31,3775685945.65,17,Australia,2019,13.88
1446,Blockchain,5,4025962614.86,14910132253.84,15,France,2005,146.22
1447,Fintech,9,3624814789.68,16449043318.44,5,China,2020,57.56
1448,Biotech,1,2553386225.88,9618689797.75,8,Germany,2020,46.1
1449,Fintech,10,836994096.61,2259318901.3,1,Singapore,2018,63.76
1450,Blockchain,5,4612102421.95,15023511161.72,2,China,2014,90.76
1451,Biotech,10,4627774304.27,21983167928.56,40,UK,2005,159.09
1452,Biotech,10,348939626.47,849005819.11,28,Germany,2001,175.77
1453,Fintech,10,916865262.3,3478994370.74,36,USA,2011,118.01
1454,EdTech,7,4246648380.39,8044478106.77,41,Canada,2012,74.55
1455,HealthTech,7,103593556.84,376310853.43,10,China,2007,80.43
1456,E-commerce,6,1052541096.04,2633550384.8,28,UK,2008,16.24
1457,Blockchain,8,732739946.28,2267279954.99,7,France,2004,83.42
1458,Fintech,4,1564811731.89,6253514488.5,41,China,2003,12.77
1459,Blockchain,6,571912418.06,1841811350.03,36,Singapore,2015,82.51
1460,HealthTech,2,196108369.05,362545692.92,9,UK,2003,102.11
1461,AI,9,3855984614.64,13060338929.62,19,Germany,2022,110.87
1462,AI,5,4497254121.46,17407258137.78,7,Australia,2019,29.71
1463,E-commerce,7,1763255466.23,4515190046.66,42,France,2021,17.7
1464,Fintech,5,3435581682.23,8586893373.29,38,Singapore,2020,48.68
1465,EdTech,2,2956299443.03,12320821985.66,33,USA,2014,145.07
1466,EdTech,6,4360344706.06,7670897140.47,30,Germany,2003,117.61
1467,EdTech,4,4925150170.99,20198348345.27,6,Brazil,2004,173.12
1468,Blockchain,5,3334100795.34,11758960097.03,21,Germany,2009,66.74
1469,SaaS,5,2172042823.46,7342585222.91,8,Singapore,2012,137.41
1470,E-commerce,10,3328641485.3,11083839897.75,6,UK,2010,185.12
1471,HealthTech,8,1754628705.13,8412069751.73,8,Canada,2017,162.84
1472,Biotech,4,20879083.53,90602461.68,48,Australia,2014,35.36
1473,HealthTech,2,1875243369.99,3331104544.49,33,Australia,2019,173.45
1474,E-commerce,4,3825537134.04,10554562640.53,16,Australia,2018,164.19
1475,Blockchain,9,2628278358.58,12549506871.09,30,Singapore,2010,176.91
1476,Blockchain,8,3609622645.91,13249949651.09,39,UK,2018,97.66
1477,E-commerce,9,821696544.69,2356765901.78,31,France,2010,134.06
1478,Biotech,9,2066211536.32,3930788000.57,34,France,2011,165.61
1479,EdTech,2,1219599852.14,3747655708.52,6,Australia,2003,99.57
1480,HealthTech,6,3885305632.23,18470453369.83,38,France,2022,66.02
1481,HealthTech,8,3139556615.02,5240343657.02,28,Brazil,2007,68.89
1482,HealthTech,2,2035301753.15,7178250910.03,27,Germany,2018,23.91
1483,E-commerce,10,1808428927.31,3338985106.24,16,USA,2013,160.8
1484,SaaS,6,409211772.55,1563692406.95,34,Australia,2010,142.35
1485,E-commerce,10,2125533158.41,10565057436.99,39,UK,2010,166.04
1486,AI,5,1781280094.31,8211779478.27,5,USA,2007,130.61
1487,Blockchain,8,60292240.18,144505079.68,1,China,2003,141.69
1488,Biotech,1,1151855532.93,2630300734.57,23,Australia,2006,35.12
1489,HealthTech,2,4728011351.49,17955699933.24,40,China,2009,10.25
1490,Blockchain,2,815972207.82,3461755264.48,29,India,2003,31.92
1491,HealthTech,10,1391585867.68,3508211799.91,14,Germany,2016,91.55
1492,HealthTech,3,3518772434.38,10805491612.67,49,UK,2008,154.72
1493,AI,1,417997278.06,882748594.91,31,UK,2003,24.51
1494,HealthTech,2,3298030781.78,9221987295.59,34,Canada,2020,61.45
1495,SaaS,4,1667099306.41,3676493776.24,5,USA,2002,131.57
1496,SaaS,5,2136381550.17,4955637545.04,43,Canada,2015,140.02
1497,SaaS,3,2412911836.3,7091748016.33,7,Canada,2015,197.39
1498,EdTech,2,2961424577.38,12371140058.89,43,Germany,2004,81.04
1499,E-commerce,6,4295056209.05,12340040507.89,21,Canada,2021,176.35
1500,AI,7,4179318787.03,9382036663.63,44,Singapore,2005,46.73
1501,Fintech,4,2056427052.36,6941328137.53,24,Singapore,2003,60.5
1502,Biotech,9,884952207.86,3679521352.97,21,Australia,2010,126.63
1503,Blockchain,7,1708058928.51,5822755819.71,25,Germany,2002,28.27
1504,AI,9,4321405186.43,20965117946.35,39,Brazil,2018,169.7
1505,Blockchain,4,2063096946.93,3364570212.79,15,France,2016,100.11
1506,EdTech,8,1948989870.14,8707186479.04,40,Canada,2004,140.51
1507,Biotech,10,1123339257.35,4276812870.47,21,India,2010,145.84
1508,Blockchain,10,2508798031.84,7631431931.06,3,Australia,2006,57.06
1509,AI,6,3590460177.98,8105414590.25,43,USA,2021,65.23
1510,Fintech,10,3968595531.01,8242771032.1,12,France,2023,43.01
1511,SaaS,10,2494472601.9,7569549041.8,40,Brazil,2017,165.74
1512,HealthTech,6,88871619.38,194380244.54,7,India,2017,32.0
1513,AI,1,2887716158.37,9466614727.13,12,China,2013,176.98
1514,Blockchain,5,4915663290.59,17605463068.31,24,India,2013,129.55
1515,Biotech,2,1864616189.92,6715271895.0,16,Australia,2015,140.52
1516,AI,8,3092050980.63,10705875247.37,4,China,2001,23.94
1517,EdTech,4,2338010613.93,10372721490.75,36,China,2009,128.74
1518,Blockchain,9,288590048.39,973054001.18,39,France,2015,14.29
1519,Blockchain,7,3045004041.77,11621139885.14,19,Canada,2003,21.9
1520,HealthTech,6,3351845526.07,5306007574.54,12,China,2001,134.67
1521,Biotech,2,2761284586.48,12115851673.92,2,Brazil,2020,103.35
1522,HealthTech,5,904843637.92,2105095474.61,14,Germany,2014,23.16
1523,EdTech,1,2102524704.16,10083369235.35,37,China,2017,64.14
1524,HealthTech,1,3205689593.71,14548260119.29,29,Brazil,2009,87.77
1525,AI,10,3066941029.63,13604740180.28,24,Germany,2012,167.14
1526,EdTech,10,3951685806.8,9637049397.16,28,USA,2018,63.28
1527,AI,1,2581834908.85,12384644835.64,2,Australia,2004,94.55
1528,Fintech,6,1831497281.36,8263099485.96,2,China,2003,101.25
1529,HealthTech,10,2117769187.62,5152686332.07,2,UK,2009,21.72
1530,Blockchain,7,2848443808.24,8056191813.32,28,Australia,2022,146.3
1531,Biotech,6,1847996870.89,6061483673.44,35,France,2015,156.87
1532,AI,2,1669299838.76,6964781399.41,13,USA,2015,84.82
1533,HealthTech,9,1160632798.37,5302651043.72,5,Singapore,2015,195.63
1534,EdTech,3,1719284172.15,3446242342.05,12,Canada,2019,173.96
1535,Blockchain,1,4010916979.64,12535765868.33,14,Canada,2006,180.05
1536,Blockchain,10,1648124752.01,3631491550.56,26,Brazil,2001,69.95
1537,HealthTech,1,3748602901.16,10563091605.61,11,Canada,2011,37.4
1538,SaaS,10,4522250484.58,9430314681.36,46,China,2003,187.45
1539,E-commerce,3,2709236350.25,6854556243.48,16,USA,2020,42.38
1540,SaaS,4,1884299399.07,7558557035.26,42,China,2007,65.57
1541,AI,5,375095394.38,1799665645.81,47,France,2012,148.94
1542,HealthTech,8,3068215893.39,4973250875.23,28,Australia,2021,64.43
1543,Biotech,5,3006363172.58,12510172654.13,14,Germany,2002,149.72
1544,Fintech,1,2408244835.2,9189764097.08,31,China,2002,161.85
1545,Fintech,9,3559948881.82,10706583620.6,21,Brazil,2018,173.62
1546,EdTech,8,1184539226.08,5751092057.15,27,Brazil,2002,199.4
1547,SaaS,9,4315988569.58,11611797303.0,45,Germany,2023,62.2
1548,Fintech,10,4284532590.9,7912853783.59,26,USA,2017,164.85
1549,EdTech,6,1655118390.69,5539442978.86,23,UK,2010,57.2
1550,SaaS,1,2626547192.19,11102880420.86,2,Canada,2010,73.26
1551,HealthTech,4,4287796626.39,6983222887.2,22,UK,2016,185.87
1552,EdTech,7,1271195552.1,4901929721.12,1,UK,2022,78.32
1553,Blockchain,4,251595377.41,758086447.03,40,USA,2000,191.25
1554,Biotech,5,4237916731.25,17269160154.35,26,Canada,2012,41.66
1555,Fintech,4,27159040.35,70603952.08,25,China,2019,149.73
1556,AI,3,1382746441.63,3233120270.95,4,UK,2004,154.89
1557,SaaS,7,3784303194.63,9911873698.9,35,Singapore,2009,184.34
1558,E-commerce,7,531192065.29,2620952120.01,19,France,2020,138.3
1559,AI,4,2112685271.04,4169256820.91,43,UK,2017,56.52
1560,EdTech,4,3744135190.12,13328235989.84,18,Brazil,2000,57.34
1561,EdTech,8,432819566.78,1404959399.8,27,Australia,2023,6.69
1562,AI,9,2583232254.79,11799895347.65,31,India,2006,127.31
1563,AI,9,1433904591.35,7163722226.05,13,UK,2013,44.03
1564,E-commerce,8,3039028140.31,12645400920.05,44,China,2018,152.71
1565,AI,1,4379529.46,18903809.3,47,Germany,2002,163.62
1566,Blockchain,3,3018316396.8,4898867937.69,43,India,2006,122.6
1567,HealthTech,10,4794372694.03,16823922988.34,27,China,2009,55.14
1568,Fintech,10,1064867623.9,3997753899.61,38,Germany,2005,75.99
1569,EdTech,8,939510890.4,4531492626.0,44,Brazil,2003,77.75
1570,AI,5,1673644619.03,7968559716.74,11,Germany,2003,23.46
1571,E-commerce,2,4638943286.65,19824593163.31,41,Singapore,2010,34.93
1572,E-commerce,6,4337786686.93,20837353386.05,9,USA,2009,121.16
1573,Biotech,7,3701404336.71,15898939374.42,23,China,2017,159.39
1574,Fintech,10,3473093961.19,13506570413.81,7,Australia,2009,94.89
1575,Biotech,2,136810581.81,320931135.27,37,Germany,2018,6.16
1576,EdTech,6,983516445.01,4224002541.71,25,Germany,2023,88.14
1577,HealthTech,8,3064262733.38,9879742167.15,41,USA,2001,65.15
1578,SaaS,10,4082346663.57,9790114824.11,40,UK,2015,116.96
1579,HealthTech,9,2565787926.49,12086103094.9,15,France,2005,39.61
1580,SaaS,8,1176497341.14,4426369517.61,1,Australia,2021,113.6
1581,Fintech,7,3892140009.04,11585056100.59,33,UK,2006,151.51
1582,EdTech,1,2690460718.08,9423258061.58,10,China,2011,156.91
1583,HealthTech,1,956635471.39,3231156233.1,38,Singapore,2002,43.99
1584,E-commerce,3,1806083403.78,4633704411.5,32,France,2011,141.76
1585,E-commerce,7,1876461861.94,4963014675.71,11,Singapore,2015,148.36
1586,E-commerce,4,1763408535.68,7655243697.36,38,Brazil,2022,110.14
1587,Fintech,5,3109070292.14,13985263459.55,34,Germany,2004,67.47
1588,Fintech,4,3399987649.15,10281290495.85,19,France,2015,66.73
1589,Blockchain,2,89380828.75,400050461.07,8,China,2016,79.49
1590,Biotech,10,193150607.27,855969079.51,2,India,2001,12.91
1591,AI,2,3875227424.37,18856539755.94,19,Singapore,2005,113.64
1592,AI,2,2459043023.33,3999366539.13,48,UK,2017,197.85
1593,AI,1,1727090113.1,2771657404.07,50,USA,2016,82.21
1594,Fintech,2,1351037663.9,5483792399.65,45,Canada,2015,94.44
1595,EdTech,6,1142746381.41,3294844147.16,30,India,2016,184.85
1596,HealthTech,8,1186738227.85,1788313373.08,47,China,2012,12.07
1597,Fintech,8,2005526343.73,5087268050.87,10,Australia,2015,111.2
1598,Fintech,6,2901697669.25,6003507458.05,16,Brazil,2000,75.33
1599,Fintech,1,2177009207.59,4263991748.48,39,UK,2016,197.77
1600,SaaS,5,2386259368.76,5327297896.35,6,Canada,2007,68.39
1601,Blockchain,6,948745575.12,1473297941.39,27,Brazil,2022,197.93
1602,AI,4,1441196998.92,2390521698.04,40,Australia,2005,80.09
1603,HealthTech,10,1317794976.16,6220056523.1,19,Brazil,2002,99.34
1604,SaaS,4,4793945586.21,21571513377.86,45,Australia,2023,41.1
1605,E-commerce,7,834242668.05,2718767916.11,43,USA,2009,136.82
1606,EdTech,1,1259532517.43,3238188046.42,26,China,2015,110.4
1607,HealthTech,5,3116870926.26,7904309736.93,38,UK,2009,93.61
1608,HealthTech,8,3169501514.29,5264966458.51,21,USA,2001,136.59
1609,AI,1,2065300885.32,5193009383.45,10,Australia,2022,146.31
1610,EdTech,5,4470293819.99,10329224686.27,19,Australia,2014,118.71
1611,Fintech,7,989889055.97,3701935488.67,36,Singapore,2001,56.91
